chapter,fig_number,fig_label,source_type,source_citation,source_url,license,permission_print,permission_electronic,permission_world_lang,permission_obtained_date,contact,notes
Introduction,1.1,fig-ai-timeline,original,michel2011quantitative; turing1950; mccarthy1955dartmouth; rosenblatt1958; weizenbaum1966; campbell2002; brown2020language,https://doi.org/10.1126/science.1199644,,na,na,na,,,
Introduction,1.2,fig-alexnet,original,krizhevsky2012imagenet,https://proceedings.neurips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,,na,na,na,,,
Introduction,1.3,fig-ai-triad,original,,,,na,na,na,,,
Introduction,1.4,fig-evolution-efficiency,original,,,,na,na,na,,,
Introduction,1.5,fig-algo-efficiency,original,hernandez2020measuring,https://doi.org/10.48550/arxiv.2005.04305,,na,na,na,,,
Introduction,1.6,fig-ai-training-compute-growth,original,amodei2018aicompute; sevilla2022,https://openai.com/research/ai-and-compute,,na,na,na,,,
Introduction,1.7,fig-ml-lifecycle-overview,original,,,,na,na,na,,,
Introduction,1.8,fig-pillars,original,,,,na,na,na,,,
ML Systems,2.1,fig-cloud-edge-TinyML-comparison,original,,,,na,na,na,,,
ML Systems,2.2,fig-doorbell-scorecard,original,,,,na,na,na,,,
ML Systems,2.3,fig-cloud-ml,original,,,,na,na,na,,,
ML Systems,2.4,fig-cloudml-example,adapted,pichai2023gemini,,all_rights_reserved,pending,pending,pending,,,Google data-center photograph; citation does not establish reuse rights.
ML Systems,2.5,fig-edge-ml,original,,,,na,na,na,,,
ML Systems,2.6,fig-energy-per-inference,original,,,,na,na,na,,,
ML Systems,2.7,fig-mobile-ml,original,,,,na,na,na,,,
ML Systems,2.8,fig-TinyML-example,cc_licensed,janapa_reddi2022,https://doi.org/10.1162/99608f92.762d171a,CC-BY 4.0,na,na,na,,,Figure 6; attribution included in caption.
ML Systems,2.9,fig-tiny-ml,original,,,,na,na,na,,,
ML Systems,2.10,fig-op-char,original,,,,na,na,na,,,
ML Systems,2.11,fig-mlsys-playbook-flowchart,original,,,,na,na,na,,,
ML Systems,2.12,fig-hybrid,original,,,,na,na,na,,,
ML Systems,2.13,fig-ml-systems-convergence,original,,,,na,na,na,,,
ML Workflow,3.1,fig-ml-lifecycle,original,,,,na,na,na,,,
ML Workflow,3.2,fig-ds-time,adapted,,,all_rights_reserved,pending,pending,pending,,,Third-party source or adaptation is documented; permission evidence is not yet recorded.
ML Workflow,3.3,fig-lifecycle-overview,original,,,,na,na,na,,,
ML Workflow,3.4,fig-eye-dr,adapted,Google,,all_rights_reserved,pending,pending,pending,,,Exact Google source and reuse license are not documented.
ML Workflow,3.5,fig-ml-lifecycle-feedback,original,,,,na,na,na,,,
ML Workflow,3.6,fig-mlops-returns,original,,,,na,na,na,,,
Data Engineering,4.1,fig-cascades,adapted,sambasivan2021,https://doi.org/10.1145/3411764.3445518,all_rights_reserved,pending,pending,pending,,,Third-party source or adaptation is documented; permission evidence is not yet recorded.
Data Engineering,4.2,fig-four-pillars,original,,,,na,na,na,,,
Data Engineering,4.3,fig-keywords,adapted,Amazon Echo product image,,all_rights_reserved,pending,pending,pending,,,Composite contains an Amazon product photograph; source and rights are not documented.
Data Engineering,4.4,fig-misalignment,original,,,,na,na,na,,,
Data Engineering,4.5,fig-traffic-light,public_domain,stromberg2015traffic,https://www.vox.com/2015/8/5/9097713/when-was-the-first-traffic-light-installed,,na,na,na,,,1915 U.S. publication; verify public-domain determination with MIT Press.
Data Engineering,4.6,fig-synthetic-data,adapted,anylogic_synthetic,https://www.anylogic.com/features/artificial-intelligence/synthetic-data/,all_rights_reserved,pending,pending,pending,,,Third-party source or adaptation is documented; permission evidence is not yet recorded.
Data Engineering,4.7,fig-pipeline-flow,original,,,,na,na,na,,,
Data Engineering,4.8,fig-dataloader-choke-point,original,,,,na,na,na,,,
Data Engineering,4.9,fig-etl-vs-elt,original,,,,na,na,na,,,
Data Engineering,4.10,fig-spectrogram-example,original,,,,na,na,na,,,
Data Engineering,4.11,fig-labels,original,,,,na,na,na,,,
Data Engineering,4.12,fig-hard-labels,adapted,northcutt2021pervasive,https://doi.org/10.48550/arxiv.2103.14749,all_rights_reserved,pending,pending,pending,,,Third-party source or adaptation is documented; permission evidence is not yet recorded.
Data Engineering,4.13,fig-weak-supervision,adapted,ratner2019weak,https://ai.stanford.edu/blog/weak-supervision/,all_rights_reserved,pending,pending,pending,,,Third-party source or adaptation is documented; permission evidence is not yet recorded.
