Workers,SerialFraction,Scenario,Speedup
1,0.05,Low Overhead (s=0.05),1.0
1,0.143,Baseline Scenario (s=0.143),1.0
1,0.33,High Overhead (s=0.33),1.0
2,0.05,Low Overhead (s=0.05),1.9047619047619047
2,0.143,Baseline Scenario (s=0.143),1.7497812773403325
2,0.33,High Overhead (s=0.33),1.5037593984962405
3,0.05,Low Overhead (s=0.05),2.7272727272727275
3,0.143,Baseline Scenario (s=0.143),2.332814930015552
3,0.33,High Overhead (s=0.33),1.8072289156626506
4,0.05,Low Overhead (s=0.05),3.4782608695652177
4,0.143,Baseline Scenario (s=0.143),2.799160251924423
4,0.33,High Overhead (s=0.33),2.0100502512562812
5,0.05,Low Overhead (s=0.05),4.166666666666667
5,0.143,Baseline Scenario (s=0.143),3.1806615776081424
5,0.33,High Overhead (s=0.33),2.1551724137931036
6,0.05,Low Overhead (s=0.05),4.800000000000001
6,0.143,Baseline Scenario (s=0.143),3.498542274052478
6,0.33,High Overhead (s=0.33),2.2641509433962264
7,0.05,Low Overhead (s=0.05),5.384615384615384
7,0.143,Baseline Scenario (s=0.143),3.7674919268030145
7,0.33,High Overhead (s=0.33),2.348993288590604
8,0.05,Low Overhead (s=0.05),5.925925925925926
8,0.143,Baseline Scenario (s=0.143),3.99800099950025
8,0.33,High Overhead (s=0.33),2.416918429003021
9,0.05,Low Overhead (s=0.05),6.428571428571429
9,0.143,Baseline Scenario (s=0.143),4.197761194029851
9,0.33,High Overhead (s=0.33),2.4725274725274726
10,0.05,Low Overhead (s=0.05),6.896551724137931
10,0.143,Baseline Scenario (s=0.143),4.3725404459991255
10,0.33,High Overhead (s=0.33),2.5188916876574305
11,0.05,Low Overhead (s=0.05),7.333333333333334
11,0.143,Baseline Scenario (s=0.143),4.526748971193416
11,0.33,High Overhead (s=0.33),2.5581395348837206
12,0.05,Low Overhead (s=0.05),7.741935483870969
12,0.143,Baseline Scenario (s=0.143),4.663816556548777
12,0.33,High Overhead (s=0.33),2.5917926565874727
13,0.05,Low Overhead (s=0.05),8.125
13,0.143,Baseline Scenario (s=0.143),4.786450662739323
13,0.33,High Overhead (s=0.33),2.620967741935484
14,0.05,Low Overhead (s=0.05),8.484848484848484
14,0.143,Baseline Scenario (s=0.143),4.896817068905212
14,0.33,High Overhead (s=0.33),2.6465028355387523
15,0.05,Low Overhead (s=0.05),8.823529411764707
15,0.143,Baseline Scenario (s=0.143),4.996668887408394
15,0.33,High Overhead (s=0.33),2.669039145907473
16,0.05,Low Overhead (s=0.05),9.142857142857142
16,0.143,Baseline Scenario (s=0.143),5.08744038155803
16,0.33,High Overhead (s=0.33),2.6890756302521006
17,0.05,Low Overhead (s=0.05),9.444444444444445
17,0.143,Baseline Scenario (s=0.143),5.1703163017031635
17,0.33,High Overhead (s=0.33),2.707006369426751
18,0.05,Low Overhead (s=0.05),9.72972972972973
18,0.143,Baseline Scenario (s=0.143),5.246283882250073
18,0.33,High Overhead (s=0.33),2.723146747352496
19,0.05,Low Overhead (s=0.05),10.0
19,0.143,Baseline Scenario (s=0.143),5.31617235590375
19,0.33,High Overhead (s=0.33),2.7377521613832854
20,0.05,Low Overhead (s=0.05),10.256410256410255
20,0.143,Baseline Scenario (s=0.143),5.380683346785042
20,0.33,High Overhead (s=0.33),2.751031636863824
21,0.05,Low Overhead (s=0.05),10.5
21,0.143,Baseline Scenario (s=0.143),5.4404145077720205
21,0.33,High Overhead (s=0.33),2.763157894736842
22,0.05,Low Overhead (s=0.05),10.73170731707317
22,0.143,Baseline Scenario (s=0.143),5.495878091431426
22,0.33,High Overhead (s=0.33),2.7742749054224465
23,0.05,Low Overhead (s=0.05),10.952380952380953
23,0.143,Baseline Scenario (s=0.143),5.547515677761699
23,0.33,High Overhead (s=0.33),2.7845036319612593
24,0.05,Low Overhead (s=0.05),11.162790697674419
24,0.143,Baseline Scenario (s=0.143),5.59570995570063
24,0.33,High Overhead (s=0.33),2.7939464493597206
25,0.05,Low Overhead (s=0.05),11.363636363636365
25,0.143,Baseline Scenario (s=0.143),5.640794223826715
25,0.33,High Overhead (s=0.33),2.802690582959641
26,0.05,Low Overhead (s=0.05),11.555555555555555
26,0.143,Baseline Scenario (s=0.143),5.683060109289618
26,0.33,High Overhead (s=0.33),2.8108108108108105
27,0.05,Low Overhead (s=0.05),11.73913043478261
27,0.143,Baseline Scenario (s=0.143),5.722763883001273
27,0.33,High Overhead (s=0.33),2.8183716075156577
28,0.05,Low Overhead (s=0.05),11.914893617021276
28,0.143,Baseline Scenario (s=0.143),5.760131660152233
28,0.33,High Overhead (s=0.33),2.825428859737639
29,0.05,Low Overhead (s=0.05),12.083333333333334
29,0.143,Baseline Scenario (s=0.143),5.795363709032775
29,0.33,High Overhead (s=0.33),2.8320312499999996
30,0.05,Low Overhead (s=0.05),12.244897959183673
30,0.143,Baseline Scenario (s=0.143),5.8286380415776184
30,0.33,High Overhead (s=0.33),2.838221381267739
31,0.05,Low Overhead (s=0.05),12.4
31,0.143,Baseline Scenario (s=0.143),5.860113421550095
31,0.33,High Overhead (s=0.33),2.8440366972477062
32,0.05,Low Overhead (s=0.05),12.549019607843139
32,0.143,Baseline Scenario (s=0.143),5.889931897662433
32,0.33,High Overhead (s=0.33),2.8495102404274264
