Date,Generation,ErrorRate
2022-09,Gen 1: Text Scraping,21.5
2022-10,Gen 1: Text Scraping,19.2
2022-11,Gen 1: Text Scraping,18.8
2022-12,Gen 1: Text Scraping,18.0
2023-01,Gen 1: Text Scraping,16.5
2023-02,Gen 1: Text Scraping,15.8
2023-03,Gen 1: Text Scraping,15.0
2023-04,Gen 1: Text Scraping,14.6
2023-05,Gen 1: Text Scraping,14.2
2023-06,Gen 2: Function Calling,5.8
2023-07,Gen 2: Function Calling,4.5
2023-08,Gen 2: Function Calling,4.0
2023-09,Gen 2: Function Calling,3.7
2023-10,Gen 2: Function Calling,3.4
2023-11,Gen 2: Function Calling,3.2
2023-12,Gen 2: Function Calling,3.0
2024-01,Gen 2: Function Calling,2.7
2024-02,Gen 2: Function Calling,2.5
2024-03,Gen 2: Function Calling,2.3
2024-04,Gen 2: Function Calling,2.2
2024-05,Gen 2: Function Calling,2.1
2024-06,Gen 3: Constrained Decoding,0.0
2024-07,Gen 3: Constrained Decoding,0.0
2024-08,Gen 3: Constrained Decoding,0.0
2024-09,Gen 3: Constrained Decoding,0.0
2024-10,Gen 3: Constrained Decoding,0.0
2024-11,Gen 3: Constrained Decoding,0.0
2024-12,Gen 3: Constrained Decoding,0.0
2025-01,Gen 3: Constrained Decoding,0.0
2025-02,Gen 3: Constrained Decoding,0.0
2025-03,Gen 3: Constrained Decoding,0.0
