Cadence_K,Cost_Heavy,Cost_Fast
1,578.9473684210526,55.26315789473685
2,332.409972299169,56.78670360110804
3,252.70933566603495,59.28949798318512
4,214.8540910520945,62.154219197213045
5,193.8533152349725,65.26394946244073
6,181.3832189333076,68.58552965915693
7,173.8824091277949,72.1100579029973
8,169.5757240719981,75.83803215442138
9,167.48219661431912,79.77441470313623
10,167.01825701150938,83.92667414828347
11,167.81738742783241,88.30391100369278
12,169.6399655703235,92.91643568738175
13,172.32473499230505,97.77555615867743
14,175.76108962928794,102.893471220479
15,179.87246014693213,108.28322100845315
16,184.60594594027245,113.9586704746682
17,189.9256219247385,119.93451310432563
18,195.80809191287747,126.22628782240852
19,202.2394617699289,132.85040505921194
20,209.21323631371956,139.82417960300256
21,216.7288329398598,147.1658688188403
22,224.7905166469916,154.89471537706763
23,233.40662912716797,163.03099398124917
24,242.58902708326076,171.59606180448299
25,252.3526721361474,180.61241248601408
26,262.71533247256525,190.10373363639795
27,273.6973682462723,200.0949678665315
28,285.3215807972723,210.61237740430232
29,297.61311131017413,221.68361239898869
30,310.59937842537295,233.33778304206146
31,324.31004708252016,245.60553565639637
32,338.77702286701,258.5191329258969
33,354.0344675818377,272.1125384553427
34,370.11883283809385,286.4215058667521
35,387.06890925651646,301.48367265424224
36,404.92588947562797,317.33865903470405
37,423.7334436222169,334.0281720468752
38,443.5378062551172,351.59611516681684
39,464.38787407052877,370.08870372355403
40,486.33531387622503,389.5545864148562
41,509.4346805173294,410.0449732399288
42,533.743544578577,431.6137701832531
43,559.3226298050619,454.31772100203614
44,586.2359602813732,478.21655648878675
45,614.5510174922777,503.37315160049286
46,644.3389074601787,529.8536908668076
47,675.6745382181206,557.7278425116241
48,708.6368079342094,587.0689417454959
49,743.3088040555876,617.9541837106199
50,779.7780138888234,650.4648265855935
