branches,naive_memory_gb,radix_memory_gb
1,2.8125,2.8125
2,5.625,3.125
3,8.4375,3.4375
4,11.25,3.75
5,14.0625,4.0625
6,16.875,4.375
7,19.6875,4.6875
8,22.5,5.0
9,25.3125,5.3125
10,28.125,5.625
11,30.9375,5.9375
12,33.75,6.25
13,36.5625,6.5625
14,39.375,6.875
15,42.1875,7.1875
16,45.0,7.5
17,47.8125,7.8125
18,50.625,8.125
19,53.4375,8.4375
20,56.25,8.75
21,59.0625,9.0625
22,61.875,9.375
23,64.6875,9.6875
24,67.5,10.0
25,70.3125,10.3125
26,73.125,10.625
27,75.9375,10.9375
28,78.75,11.25
29,81.5625,11.5625
30,84.375,11.875
31,87.1875,12.1875
32,90.0,12.5
33,92.8125,12.8125
34,95.625,13.125
35,98.4375,13.4375
36,101.25,13.75
37,104.0625,14.0625
38,106.875,14.375
39,109.6875,14.6875
40,112.5,15.0
41,115.3125,15.3125
42,118.125,15.625
43,120.9375,15.9375
44,123.75,16.25
45,126.5625,16.5625
46,129.375,16.875
47,132.1875,17.1875
48,135.0,17.5
49,137.8125,17.8125
50,140.625,18.125
51,143.4375,18.4375
52,146.25,18.75
53,149.0625,19.0625
54,151.875,19.375
55,154.6875,19.6875
56,157.5,20.0
57,160.3125,20.3125
58,163.125,20.625
59,165.9375,20.9375
60,168.75,21.25
61,171.5625,21.5625
62,174.375,21.875
63,177.1875,22.1875
64,180.0,22.5
65,182.8125,22.8125
66,185.625,23.125
67,188.4375,23.4375
68,191.25,23.75
69,194.0625,24.0625
70,196.875,24.375
71,199.6875,24.6875
72,202.5,25.0
73,205.3125,25.3125
74,208.125,25.625
75,210.9375,25.9375
76,213.75,26.25
77,216.5625,26.5625
78,219.375,26.875
79,222.1875,27.1875
80,225.0,27.5
81,227.8125,27.8125
82,230.625,28.125
83,233.4375,28.4375
84,236.25,28.75
85,239.0625,29.0625
86,241.875,29.375
87,244.6875,29.6875
88,247.5,30.0
89,250.3125,30.3125
90,253.125,30.625
91,255.9375,30.9375
92,258.75,31.25
93,261.5625,31.5625
94,264.375,31.875
95,267.1875,32.1875
96,270.0,32.5
97,272.8125,32.8125
98,275.625,33.125
99,278.4375,33.4375
100,281.25,33.75
101,284.0625,34.0625
102,286.875,34.375
103,289.6875,34.6875
104,292.5,35.0
105,295.3125,35.3125
106,298.125,35.625
107,300.9375,35.9375
108,303.75,36.25
109,306.5625,36.5625
110,309.375,36.875
111,312.1875,37.1875
112,315.0,37.5
113,317.8125,37.8125
114,320.625,38.125
115,323.4375,38.4375
116,326.25,38.75
117,329.0625,39.0625
118,331.875,39.375
119,334.6875,39.6875
120,337.5,40.0
121,340.3125,40.3125
122,343.125,40.625
123,345.9375,40.9375
124,348.75,41.25
125,351.5625,41.5625
126,354.375,41.875
127,357.1875,42.1875
128,360.0,42.5
