Agents,Classical_Speedup,Multi_Agent_Speedup
1,1.0,0.9775171065493647
2,1.7857142857142856,1.633986928104575
3,2.4193548387096775,1.998667554963358
4,2.9411764705882355,2.1367521367521367
5,3.3783783783783785,2.1231422505307855
6,3.75,2.0215633423180592
7,4.069767441860465,1.877178868329311
8,4.347826086956522,1.718213058419244
9,4.591836734693877,1.5606034333275534
10,4.8076923076923075,1.4124293785310735
11,5.0,1.277139208173691
12,5.172413793103448,1.1556240369799693
13,5.327868852459017,1.0474579002497784
14,5.46875,0.9516041326808049
15,5.597014925373134,0.8668015024559377
16,5.714285714285714,0.791765637371338
17,5.821917808219179,0.7252869149707751
18,5.921052631578947,0.6662718389102754
19,6.012658227848102,0.6137545627806312
20,6.097560975609757,0.5668934240362813
