Model,Date,ContextLength,Organization
Transformer,2017-06-01,512,Google
GPT-1,2018-06-01,512,OpenAI
BERT,2018-10-11,512,Google
GPT-2,2019-02-14,1024,OpenAI
GPT-3,2020-05-28,2048,OpenAI
Jurassic-1,2021-09-01,2048,AI21
Gopher,2021-12-08,2048,DeepMind
GPT-3.5,2022-11-28,4096,OpenAI
LLaMA,2023-02-24,2048,Meta
GPT-4,2023-03-14,8192,OpenAI
GPT-4-32k,2023-03-14,32768,OpenAI
Claude 1 (100k),2023-05-11,100000,Anthropic
Llama 2,2023-07-18,4096,Meta
Claude 2.1,2023-11-21,200000,Anthropic
Mixtral 8x7B,2023-12-11,32768,Mistral
Gemini 1.5 Pro,2024-02-15,1000000,Google
Llama 3,2024-04-18,8192,Meta
GPT-4o,2024-05-13,128000,OpenAI
Gemini 1.5 Pro (2M),2024-05-14,2000000,Google
Llama 3.1,2024-07-23,131072,Meta
Claude 3.5 Sonnet,2024-06-21,200000,Anthropic
