Trajectory Length (N),Step Accuracy (p),Success Probability
1,0.8,0.8
1,0.9,0.9
1,0.95,0.95
1,0.99,0.99
2,0.8,0.6400000000000001
2,0.9,0.81
2,0.95,0.9025
2,0.99,0.9801
3,0.8,0.5120000000000001
3,0.9,0.7290000000000001
3,0.95,0.8573749999999999
3,0.99,0.970299
4,0.8,0.4096000000000001
4,0.9,0.6561
4,0.95,0.8145062499999999
4,0.99,0.96059601
5,0.8,0.3276800000000001
5,0.9,0.5904900000000001
5,0.95,0.7737809374999998
5,0.99,0.9509900498999999
6,0.8,0.2621440000000001
6,0.9,0.531441
6,0.95,0.7350918906249998
6,0.99,0.941480149401
7,0.8,0.20971520000000007
7,0.9,0.4782969000000001
7,0.95,0.6983372960937497
7,0.99,0.9320653479069899
8,0.8,0.1677721600000001
8,0.9,0.4304672100000001
8,0.95,0.6634204312890623
8,0.99,0.9227446944279201
9,0.8,0.13421772800000006
9,0.9,0.3874204890000001
9,0.95,0.6302494097246091
9,0.99,0.9135172474836408
10,0.8,0.10737418240000006
10,0.9,0.3486784401000001
10,0.95,0.5987369392383787
10,0.99,0.9043820750088044
11,0.8,0.08589934592000005
11,0.9,0.31381059609000006
11,0.95,0.5688000922764597
11,0.99,0.8953382542587164
12,0.8,0.06871947673600004
12,0.9,0.2824295364810001
12,0.95,0.5403600876626367
12,0.99,0.8863848717161292
13,0.8,0.054975581388800036
13,0.9,0.2541865828329001
13,0.95,0.5133420832795048
13,0.99,0.8775210229989678
14,0.8,0.043980465111040035
14,0.9,0.2287679245496101
14,0.95,0.48767497911552954
14,0.99,0.8687458127689782
15,0.8,0.03518437208883203
15,0.9,0.20589113209464907
15,0.95,0.46329123015975304
15,0.99,0.8600583546412884
16,0.8,0.028147497671065624
16,0.9,0.18530201888518416
16,0.95,0.44012666865176536
16,0.99,0.8514577710948755
17,0.8,0.022517998136852502
17,0.9,0.16677181699666577
17,0.95,0.4181203352191771
17,0.99,0.8429431933839268
18,0.8,0.018014398509482003
18,0.9,0.15009463529699918
18,0.95,0.3972143184582182
18,0.99,0.8345137614500875
19,0.8,0.014411518807585602
19,0.9,0.13508517176729928
19,0.95,0.37735360253530725
19,0.99,0.8261686238355866
20,0.8,0.011529215046068483
20,0.9,0.12157665459056935
20,0.95,0.3584859224085419
20,0.99,0.8179069375972308
21,0.8,0.009223372036854787
21,0.9,0.10941898913151242
21,0.95,0.3405616262881148
21,0.99,0.8097278682212584
22,0.8,0.00737869762948383
22,0.9,0.09847709021836118
22,0.95,0.323533544973709
22,0.99,0.8016305895390459
23,0.8,0.005902958103587064
23,0.9,0.08862938119652507
23,0.95,0.3073568677250236
23,0.99,0.7936142836436554
24,0.8,0.004722366482869652
24,0.9,0.07976644307687256
24,0.95,0.2919890243387724
24,0.99,0.7856781408072188
25,0.8,0.0037778931862957215
25,0.9,0.0717897987691853
25,0.95,0.27738957312183377
25,0.99,0.7778213593991467
26,0.8,0.0030223145490365774
26,0.9,0.06461081889226677
26,0.95,0.26352009446574204
26,0.99,0.7700431458051551
27,0.8,0.002417851639229262
27,0.9,0.058149737003040096
27,0.95,0.2503440897424549
27,0.99,0.7623427143471035
28,0.8,0.0019342813113834097
28,0.9,0.05233476330273609
28,0.95,0.23782688525533216
28,0.99,0.7547192872036326
29,0.8,0.0015474250491067279
29,0.9,0.047101286972462485
29,0.95,0.22593554099256555
29,0.99,0.7471720943315961
30,0.8,0.0012379400392853823
30,0.9,0.04239115827521624
30,0.95,0.21463876394293727
30,0.99,0.7397003733882802
31,0.8,0.0009903520314283058
31,0.9,0.038152042447694615
31,0.95,0.2039068257457904
31,0.99,0.7323033696543975
32,0.8,0.0007922816251426448
32,0.9,0.03433683820292515
32,0.95,0.19371148445850087
32,0.99,0.7249803359578534
33,0.8,0.0006338253001141158
33,0.9,0.030903154382632636
33,0.95,0.18402591023557582
33,0.99,0.7177305325982749
34,0.8,0.0005070602400912927
34,0.9,0.027812838944369374
34,0.95,0.174824614723797
34,0.99,0.7105532272722921
35,0.8,0.00040564819207303417
35,0.9,0.025031555049932437
35,0.95,0.16608338398760716
35,0.99,0.7034476949995692
36,0.8,0.00032451855365842736
36,0.9,0.022528399544939195
36,0.95,0.1577792147882268
36,0.99,0.6964132180495735
37,0.8,0.00025961484292674194
37,0.9,0.020275559590445275
37,0.95,0.14989025404881545
37,0.99,0.6894490858690777
38,0.8,0.00020769187434139353
38,0.9,0.01824800363140075
38,0.95,0.14239574134637467
38,0.99,0.682554595010387
39,0.8,0.00016615349947311485
39,0.9,0.016423203268260675
39,0.95,0.13527595427905592
39,0.99,0.6757290490602831
40,0.8,0.00013292279957849188
40,0.9,0.014780882941434608
40,0.95,0.12851215656510312
40,0.99,0.6689717585696803
41,0.8,0.00010633823966279351
41,0.9,0.013302794647291146
41,0.95,0.12208654873684796
41,0.99,0.6622820409839835
42,0.8,8.507059173023481e-05
42,0.9,0.011972515182562033
42,0.95,0.11598222130000556
42,0.99,0.6556592205741436
43,0.8,6.805647338418786e-05
43,0.9,0.01077526366430583
43,0.95,0.11018311023500528
43,0.99,0.6491026283684022
44,0.8,5.444517870735029e-05
44,0.9,0.009697737297875247
44,0.95,0.10467395472325501
44,0.99,0.6426116020847181
45,0.8,4.355614296588023e-05
