target_failure_rate,required_exposure_hours,machine_years
0.01,298.07285221322263,0.03400329137727842
0.008302175681319744,359.33706553923304,0.04099213615551369
0.006892612104349695,433.12986671955576,0.049410206105356576
0.00572236765935022,522.0134238897168,0.05954978597874935
0.0047508101621027985,629.0738728697373,0.07176293325002707
0.003944206059437656,758.0284712486572,0.08647370194486165
0.0032745491628777285,913.3546657075873,0.1041928662682623
0.00271858824273294,1100.4455539444039,0.12553565525261282
0.002257019719633919,1325.7971390127261,0.151243114192645
0.001873817422860383,1597.23387775401,0.1822078345601198
0.0015556761439304723,1924.1803546163992,0.21950494576960977
0.001291549665014884,2317.9885136753787,0.26442944486372105
0.0010722672220103231,2792.331810716557,0.3185411602460138
0.0008902150854450384,3363.679970778071,0.38371891065230107
0.0007390722033525775,4051.8708352590124,0.4622257398196455
0.0006135907273413176,4880.799153761096,0.5567874918732713
0.0005094138014816375,5879.246236282822,0.6706874556562653
0.0004229242874389499,7081.879272198748,0.8078803641568273
0.0003511191734215131,8530.455013504132,0.9731297072215528
0.0002915053062825176,10275.269615529041,1.172173125202948
0.00024201282647943808,12376.9049751916,1.4119216261911478
0.0002009233002565046,14908.332201611272,1.7006995438753447
0.0001668100537200059,17957.445253895963,2.048533567635862
0.00013848863713938718,21630.11271683471,2.4675008803142493
0.00011497569953977356,26053.853675492734,2.9721484913863487
9.545484566618328e-05,31382.265319182923,3.5799983252547256
7.92482898353917e-05,37800.35600614121,4.312155601886974
6.579332246575683e-05,45530.96895882105,5.194041633449812
5.462277217684337e-05,54842.519627359085,6.256276480419699
4.534878508128582e-05,66058.31537180733,7.535742114055137
3.7649358067924715e-05,79567.78105209635,9.07686299932653
3.1257158496882356e-05,95839.98029041292,10.93314856153467
2.595024211399732e-05,115439.90187957782,13.169051092810612
2.1544346900318823e-05,139048.07682301145,15.86220360746195
1.788649529057435e-05,167484.2071202564,19.106115345682912
1.4849682622544636e-05,201735.6267340318,23.013418518598197
1.2328467394420658e-05,242991.58291819037,27.719779023293448
1.023531021899027e-05,292684.5281963116,33.38860691265248
8.497534359086437e-06,352539.85671448166,40.21673017504924
7.054802310718631e-06,424635.81181598495,48.44122881770305
5.857020818056661e-06,511475.644972883,58.34766654949612
4.862601580065354e-06,616074.5314416991,70.28000586832069
4.037017258596549e-06,742064.2605031949,84.6525508217197
3.3516026509388406e-06,893819.3351865725,101.96433209976871
2.782559402207126e-06,1076608.859905859,122.81643393861043
2.310129700083158e-06,1296779.4895549444,147.93286442561538
1.917910261672485e-06,1561975.792390769,178.1856938615981
1.5922827933410906e-06,1881405.6780331198,214.62533402157425
1.3219411484660288e-06,2266160.106301254,258.51700961684395
1.0974987654930544e-06,2729598.176986505,311.3846882257021
9.111627561154887e-07,3287810.974039217,375.06399430061794
7.564633275546275e-07,3960180.2644422026,451.7659439245041
6.280291441834247e-07,4770051.455145199,544.1537137970795
5.214008287999684e-07,5745544.170302848,655.4351095485796
4.3287612810830526e-07,6920528.601642283,789.4739449740226
3.5938136638046254e-07,8335801.507513821,950.9241966134863
2.9836472402833343e-07,10040502.731340446,1145.3915960917689
2.4770763559917087e-07,12093821.391318642,1379.6282673190328
2.0565123083486514e-07,14567050.989853876,1661.767167448537
1.7073526474706888e-07,17546064.79808845,2001.6044716048882
1.417474162926805e-07,21134297.47440059,2410.9397073238183
1.1768119524349967e-07,25456336.42954726,2903.985447130648
9.770099572992247e-08,30662247.652421936,3497.8607862676176
8.111308307896855e-08,36932786.182242244,4213.185738334731
6.734150657750815e-08,44485671.97611524,5074.797168162816
5.5908101825122226e-08,53583149.71479848,6112.61119265326
4.641588833612773e-08,64541093.79771163,7362.661852351315
3.8535285937105275e-08,77739976.25894113,8868.352299673868
3.199267137797378e-08,93638076.92352703,10681.96177544228
2.656087782946684e-08,112787395.54048796,12866.46081912936
2.205130739903041e-08,135852817.24291173,15497.697609275807
1.830738280295366e-08,163635199.7243121,18667.031681988603
1.519911082952933e-08,197099177.61772698,22484.50577432432
1.2618568830660184e-08,237406657.50016978,27082.66683780171
1.0476157527896641e-08,285957161.17335814,32621.16828352249
8.697490026177799e-09,344436410.889322,39292.31244459525
7.2208090183854565e-09,414874875.80716133,47327.72938708206
5.994842503189421e-09,499718259.3090045,57006.41789972673
4.977023564332093e-09,601912412.7769388,68664.43221274683
4.132012400115335e-09,725005633.6129295,82706.55186093196
3.430469286314912e-09,873271863.7245767,99620.33581161039
2.8480358684357932e-09,1051859019.800607,119993.04355471217
2.364489412645407e-09,1266967952.037509,144532.05019821002
1.9630406500402685e-09,1526067388.3668978,174089.3666857059
1.62975083462064e-09,1838153480.919136,209691.24810850286
1.3530477745798075e-09,2214062433.644715,252573.85736307493
1.1233240329780266e-09,2666846163.8728147,304226.11953830876
9.32603346883218e-10,3212225586.7490788,366441.4312969517
7.742636826811277e-10,3869137160.249856,441380.00915467215
6.428073117284293e-10,4660388859.120142,531643.7210951565
5.336699231206302e-10,5613455716.735272,640366.8396914524
4.4306214575838866e-10,6761426863.924902,771324.077563872
3.6783797718286193e-10,8144162422.558418,929062.5624638853
3.0538555088334126e-10,9809670846.488222,1119058.9603568586
2.535364493970106e-10,11815787029.964025,1347910.9091905118
2.1049041445120134e-10,14232156108.651323,1623563.325194082
1.747528400007683e-10,17142677667.319353,1955587.2310425912
1.4508287784959372e-10,20648426678.96269,2355512.9681682284
1.2045035402587787e-10,24871103399.452473,2837223.750793118
1e-10,29957320255.36225,3417444.701729666
