Year,System_Tier,Technology,Frequency_Hz,Model_Size_Params,Category
1990,Low-Level Control,PID Joint Control,500,0,Control
1995,Low-Level Control,DSP-based Control,1000,0,Control
2000,Low-Level Control,Industrial Impedance Control,1000,0,Control
2010,Low-Level Control,Real-time EtherCAT / Torque,1000,0,Control
2015,Low-Level Control,Whole-Body MPC,1000,0,Control
2020,Low-Level Control,High-Frequency Reflexes,1000,0,Control
2024,Low-Level Control,Fast-Loop MCU,1000,0,Control
1990,High-Level Reasoning,Blob Tracking,10,0,Classical
1995,High-Level Reasoning,Color Histograms,15,0,Classical
2001,High-Level Reasoning,Viola-Jones,15,0,Classical
2006,High-Level Reasoning,HOG + SVM,20,0,Classical
2012,High-Level Reasoning,AlexNet (GPU),30,60000000,Deep Learning
2015,High-Level Reasoning,YOLOv1,45,26000000,Deep Learning
2018,High-Level Reasoning,Mask R-CNN,10,44000000,Deep Learning
2020,High-Level Reasoning,DETR (Transformers),5,41000000,Foundation Models
2022,High-Level Reasoning,RT-1,3,35000000,Foundation Models
2023,High-Level Reasoning,RT-2 (55B),1,55000000000,Foundation Models
2024,High-Level Reasoning,OpenVLA (7B quantized),5,7000000000,Foundation Models
