Dimension,Workload_ID,Workload_Name,Domain,Parameter,Metric_Value
Data,causal-language-modeling,Causal LM (nanoGPT),Language,100%,0.08ms
Data,causal-language-modeling,Causal LM (nanoGPT),Language,50%,0.03ms
Data,causal-language-modeling,Causal LM (nanoGPT),Language,25%,0.02ms
Data,causal-language-modeling,Causal LM (nanoGPT),Language,10%,0.02ms
Data,text-classification,Text Classification (DistilBERT),Language,100%,0.08ms
Data,text-classification,Text Classification (DistilBERT),Language,50%,0.04ms
Data,text-classification,Text Classification (DistilBERT),Language,25%,0.02ms
Data,text-classification,Text Classification (DistilBERT),Language,10%,0.02ms
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,100%,0.07ms
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,50%,0.04ms
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,25%,0.02ms
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,10%,0.02ms
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,100%,0.08ms
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,50%,0.04ms
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,25%,0.02ms
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,10%,0.02ms
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,100%,0.09ms
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,50%,0.04ms
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,25%,0.02ms
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,10%,0.02ms
Data,graph-node-classification,Graph Classification (GCN),Graph,100%,0.1ms
Data,graph-node-classification,Graph Classification (GCN),Graph,50%,0.04ms
Data,graph-node-classification,Graph Classification (GCN),Graph,25%,0.02ms
Data,graph-node-classification,Graph Classification (GCN),Graph,10%,0.02ms
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,100%,0.09ms
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,50%,0.04ms
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,25%,0.02ms
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,10%,0.02ms
Data,image-classification,Image Classification (ResNet8),Vision,100%,0.09ms
Data,image-classification,Image Classification (ResNet8),Vision,50%,0.04ms
Data,image-classification,Image Classification (ResNet8),Vision,25%,0.02ms
Data,image-classification,Image Classification (ResNet8),Vision,10%,0.02ms
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,100%,0.09ms
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,50%,0.04ms
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,25%,0.02ms
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,10%,0.02ms
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,100%,0.09ms
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,50%,0.04ms
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,25%,0.02ms
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,10%,0.02ms
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,100%,0.09ms
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,50%,0.04ms
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,25%,0.02ms
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,10%,0.02ms
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,100%,0.09ms
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,50%,0.04ms
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,25%,0.02ms
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,10%,0.02ms
Data,recommendation,Recommendation (NCF),RecSys,100%,0.09ms
Data,recommendation,Recommendation (NCF),RecSys,50%,0.04ms
Data,recommendation,Recommendation (NCF),RecSys,25%,0.02ms
Data,recommendation,Recommendation (NCF),RecSys,10%,0.02ms
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,100%,0.09ms
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,50%,0.04ms
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,25%,0.03ms
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,10%,0.02ms
Algorithm,causal-language-modeling,Causal LM (nanoGPT),Language,FP32,110.0ms
Algorithm,causal-language-modeling,Causal LM (nanoGPT),Language,FP16,68.2ms
Algorithm,causal-language-modeling,Causal LM (nanoGPT),Language,INT8,44.0ms
Algorithm,text-classification,Text Classification (DistilBERT),Language,FP32,45.0ms
Algorithm,text-classification,Text Classification (DistilBERT),Language,FP16,27.9ms
Algorithm,text-classification,Text Classification (DistilBERT),Language,INT8,18.0ms
Algorithm,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,FP32,18.0ms
Algorithm,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,FP16,11.16ms
Algorithm,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,INT8,7.2ms
Algorithm,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,FP32,350.0ms
Algorithm,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,FP16,217.0ms
Algorithm,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,INT8,140.0ms
Algorithm,function-calling,Function Calling (Qwen3 AST),Language/Agents,FP32,210.0ms
Algorithm,function-calling,Function Calling (Qwen3 AST),Language/Agents,FP16,130.2ms
Algorithm,function-calling,Function Calling (Qwen3 AST),Language/Agents,INT8,84.0ms
Algorithm,graph-node-classification,Graph Classification (GCN),Graph,FP32,24.0ms
Algorithm,graph-node-classification,Graph Classification (GCN),Graph,FP16,14.88ms
Algorithm,graph-node-classification,Graph Classification (GCN),Graph,INT8,9.6ms
Algorithm,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,FP32,15.0ms
Algorithm,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,FP16,9.3ms
Algorithm,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,INT8,6.0ms
Algorithm,image-classification,Image Classification (ResNet8),Vision,FP32,8.1ms
Algorithm,image-classification,Image Classification (ResNet8),Vision,FP16,5.02ms
Algorithm,image-classification,Image Classification (ResNet8),Vision,INT8,3.24ms
Algorithm,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,FP32,8.0ms
Algorithm,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,FP16,4.96ms
Algorithm,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,INT8,3.2ms
Algorithm,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,FP32,4.5ms
Algorithm,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,FP16,2.79ms
Algorithm,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,INT8,1.8ms
Algorithm,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,FP32,2.8ms
Algorithm,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,FP16,1.74ms
Algorithm,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,INT8,1.12ms
Algorithm,image-generation,Image Generation (EDM Diffusion),Generative AI,FP32,180.0ms
Algorithm,image-generation,Image Generation (EDM Diffusion),Generative AI,FP16,111.6ms
Algorithm,image-generation,Image Generation (EDM Diffusion),Generative AI,INT8,72.0ms
Algorithm,recommendation,Recommendation (NCF),RecSys,FP32,35.0ms
Algorithm,recommendation,Recommendation (NCF),RecSys,FP16,21.7ms
Algorithm,recommendation,Recommendation (NCF),RecSys,INT8,14.0ms
Algorithm,reinforcement-learning,Reinforcement Learning (MiniGo),RL,FP32,50.0ms
Algorithm,reinforcement-learning,Reinforcement Learning (MiniGo),RL,FP16,31.0ms
Algorithm,reinforcement-learning,Reinforcement Learning (MiniGo),RL,INT8,20.0ms
Machine,causal-language-modeling,Causal LM (nanoGPT),Language,MPS Speedup,0.35x
Machine,text-classification,Text Classification (DistilBERT),Language,MPS Speedup,0.34x
Machine,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,MPS Speedup,0.34x
Machine,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,MPS Speedup,0.33x
Machine,function-calling,Function Calling (Qwen3 AST),Language/Agents,MPS Speedup,0.33x
Machine,graph-node-classification,Graph Classification (GCN),Graph,MPS Speedup,0.33x
Machine,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,MPS Speedup,0.37x
Machine,image-classification,Image Classification (ResNet8),Vision,MPS Speedup,0.33x
Machine,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,MPS Speedup,0.33x
Machine,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,MPS Speedup,0.33x
Machine,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,MPS Speedup,0.34x
Machine,image-generation,Image Generation (EDM Diffusion),Generative AI,MPS Speedup,0.33x
Machine,recommendation,Recommendation (NCF),RecSys,MPS Speedup,0.33x
Machine,reinforcement-learning,Reinforcement Learning (MiniGo),RL,MPS Speedup,0.33x
