Model,Year,Compute_FLOPs,Era
AlexNet,2012-09-01,4.7e+17,Pre-Deep Learning Era
VGG-19,2014-09-01,2e+18,Deep Learning Era
ResNet-152,2015-12-01,1.1e+19,Deep Learning Era
Transformer,2017-06-01,2.8e+19,Deep Learning Era
BERT-Large,2018-10-01,3.2e+20,Large Scale Era
GPT-2,2019-02-01,1.5e+21,Large Scale Era
Megatron-LM,2019-09-01,3.2e+21,Large Scale Era
T5,2019-10-01,3.3e+22,Large Scale Era
GPT-3,2020-05-01,3.14e+23,Large Scale Era
Gopher,2021-12-01,5e+23,Large Scale Era
Chinchilla,2022-03-01,4.3e+23,Large Scale Era
PaLM,2022-04-01,2.5e+24,Large Scale Era
LLaMA,2023-02-01,1e+24,Large Scale Era
GPT-4,2023-03-01,2.1e+25,Large Scale Era
Llama-3 (70B),2024-04-01,3.8e+25,Large Scale Era
