Context Length,Model,PCIe Gen,KV Size (GB),Breakeven Time (ms)
8192,8B (131 KB/token),PCIe Gen3 x16 (16 GB/s),1.073152,134.144
8192,8B (131 KB/token),PCIe Gen4 x16 (32 GB/s),1.073152,67.072
8192,8B (131 KB/token),PCIe Gen5 x16 (64 GB/s),1.073152,33.536
8192,70B (327 KB/token),PCIe Gen3 x16 (16 GB/s),2.678784,334.84799999999996
8192,70B (327 KB/token),PCIe Gen4 x16 (32 GB/s),2.678784,167.42399999999998
8192,70B (327 KB/token),PCIe Gen5 x16 (64 GB/s),2.678784,83.71199999999999
16384,8B (131 KB/token),PCIe Gen3 x16 (16 GB/s),2.146304,268.288
16384,8B (131 KB/token),PCIe Gen4 x16 (32 GB/s),2.146304,134.144
16384,8B (131 KB/token),PCIe Gen5 x16 (64 GB/s),2.146304,67.072
16384,70B (327 KB/token),PCIe Gen3 x16 (16 GB/s),5.357568,669.6959999999999
16384,70B (327 KB/token),PCIe Gen4 x16 (32 GB/s),5.357568,334.84799999999996
16384,70B (327 KB/token),PCIe Gen5 x16 (64 GB/s),5.357568,167.42399999999998
32768,8B (131 KB/token),PCIe Gen3 x16 (16 GB/s),4.292608,536.576
32768,8B (131 KB/token),PCIe Gen4 x16 (32 GB/s),4.292608,268.288
32768,8B (131 KB/token),PCIe Gen5 x16 (64 GB/s),4.292608,134.144
32768,70B (327 KB/token),PCIe Gen3 x16 (16 GB/s),10.715136,1339.3919999999998
32768,70B (327 KB/token),PCIe Gen4 x16 (32 GB/s),10.715136,669.6959999999999
32768,70B (327 KB/token),PCIe Gen5 x16 (64 GB/s),10.715136,334.84799999999996
65536,8B (131 KB/token),PCIe Gen3 x16 (16 GB/s),8.585216,1073.152
65536,8B (131 KB/token),PCIe Gen4 x16 (32 GB/s),8.585216,536.576
65536,8B (131 KB/token),PCIe Gen5 x16 (64 GB/s),8.585216,268.288
65536,70B (327 KB/token),PCIe Gen3 x16 (16 GB/s),21.430272,2678.7839999999997
65536,70B (327 KB/token),PCIe Gen4 x16 (32 GB/s),21.430272,1339.3919999999998
65536,70B (327 KB/token),PCIe Gen5 x16 (64 GB/s),21.430272,669.6959999999999
131072,8B (131 KB/token),PCIe Gen3 x16 (16 GB/s),17.170432,2146.304
131072,8B (131 KB/token),PCIe Gen4 x16 (32 GB/s),17.170432,1073.152
131072,8B (131 KB/token),PCIe Gen5 x16 (64 GB/s),17.170432,536.576
131072,70B (327 KB/token),PCIe Gen3 x16 (16 GB/s),42.860544,5357.567999999999
131072,70B (327 KB/token),PCIe Gen4 x16 (32 GB/s),42.860544,2678.7839999999997
131072,70B (327 KB/token),PCIe Gen5 x16 (64 GB/s),42.860544,1339.3919999999998
