model,release_date,context_length,org
GPT-3,2020-05-28,2048,OpenAI
Jurassic-1,2021-08-11,2048,AI21
Gopher,2021-12-08,2048,DeepMind
Chinchilla,2022-03-29,2048,DeepMind
PaLM,2022-04-04,2048,Google
GPT-3.5,2022-11-30,4096,OpenAI
LLaMA,2023-02-24,2048,Meta
GPT-4,2023-03-14,32768,OpenAI
Claude 1,2023-05-11,100000,Anthropic
Llama 2,2023-07-18,4096,Meta
Claude 2.1,2023-11-21,200000,Anthropic
GPT-4 Turbo,2023-11-06,128000,OpenAI
Mistral 7B,2023-09-27,8192,Mistral
Mixtral 8x7B,2023-12-11,32768,Mistral
Gemini 1.5 Pro,2024-02-15,1048576,Google
Claude 3 Opus,2024-03-04,200000,Anthropic
Llama 3,2024-04-18,8192,Meta
Gemini 1.5 Pro 2M,2024-05-14,2097152,Google
Llama 3.1,2024-07-23,128000,Meta
Qwen 2,2024-06-06,128000,Alibaba
DeepSeek-V2,2024-05-06,128000,DeepSeek
